id_cliente,nombre_cliente,email,ciudad,fecha_alta
1,Malena Vazquez Correa,malena.correa@gmail.com,Villa Crespo,2023-10-22
2,Julian Manuel Maldonado Godoy,julian.godoy@gmail.com,Colegiales,2023-11-14
3,Mora Ponce,mora.ponce@hotmail.com,Caballito,2023-10-22
4,Martina Miranda Cabrera,mcabrera@hotmail.com,Núñez,2023-12-07
5,Juan Pablo Tiziano Valentin Godoy Vazquez,jvazquez@outlook.com,Palermo,2024-05-23
6,Thiago Joaquin Pereyra Castillo,thiago.castillo21@outlook.com,Villa Crespo,2023-07-28
7,Luna Guillermina Ruiz Peralta,luna_peralta@gmail.com,Recoleta,2023-08-11
8,Isabel Acosta,isabel_acosta@outlook.com,Palermo,2024-01-31
9,Lorenzo Martinez Villalba,lorenzo.villalba@yahoo.com,Recoleta,2023-08-28
10,Juana Milagros Ferreyra,jferreyra@outlook.com,Colegiales,2023-06-12
11,Amparo Ojeda,amparo.ojeda@hotmail.com,Villa Crespo,2024-06-02
12,Thiago Jazmin Ramirez Gonzalez,thiago.gonzalez@yahoo.com,Villa Crespo,2023-01-24
13,Candelaria Rodriguez,candelariarodriguez@outlook.com,Almagro,2023-07-01
14,Clara Juan Ignacio Muñoz,clara.munoz@hotmail.com,Núñez,2024-04-18
15,Bianca Elena Guzman Vega,bianca.vega21@yahoo.com,Villa Crespo,2024-06-02
16,Ciro Mendoza Velazquez,cvelazquez@hotmail.com,Almagro,2024-03-26
17,Lola Chavez Vazquez,lolavazquez@gmail.com,Almagro,2023-10-03
18,Delfina Mendoza Gomez,delfinagomez@outlook.com,Caballito,2024-09-21
19,Sr(a). Agustin Ojeda,sr(a)..ojeda51@hotmail.com,Villa Crespo,2023-08-07
20,Juan Pablo Gomez Rojas,jrojas@outlook.com,Colegiales,2023-09-20
21,Thiago Nicolas Lara Vargas,thiago.vargas75@outlook.com,Caballito,2024-07-31
22,Dr(a). Jeremias Acosta,dacosta@yahoo.com,Recoleta,2024-03-21
23,Thiago Fernandez,thiagofernandez@hotmail.com,Flores,2023-02-19
24,Milagros Francisco Muñoz,milagros.munoz50@yahoo.com,Núñez,2023-06-22
25,Morena Acuña,morena.acuna@gmail.com,Núñez,2024-02-26
26,Dr(a). Sofía Pereyra,dr(a)._pereyra@gmail.com,Villa Crespo,2023-02-13
27,Dr(a). Valentino Herrera,dr(a)..herrera@outlook.com,Núñez,2024-03-23
28,Camila Thiago Nahuel Gonzalez Fernandez,camila.fernandez@outlook.com,Núñez,2024-10-18
29,Delfina Emma Gonzalez,delfina_gonzalez@hotmail.com,Núñez,2024-09-25
30,Francisco Maidana Ramirez,francisco.ramirez@outlook.com,Villa Urquiza,2023-06-19
31,Jazmin Thiago Gabriel Castro Romero,jazmin_romero@hotmail.com,Palermo,2023-08-03
32,Dr(a). Luz Milagros Lopez,dr(a)..lopez@gmail.com,Villa Urquiza,2024-10-09
33,Sr(a). Renata Morales,smorales@hotmail.com,Belgrano,2024-02-16
34,Dr(a). Valentino Ojeda,dr(a).ojeda@outlook.com,Núñez,2024-01-29
35,Máximo Sebastian Escobar,maximoescobar@hotmail.com,Villa Crespo,2023-11-09
36,Josefina Camila Fernandez Molina,josefina_molina@yahoo.com,Núñez,2023-06-08
37,Lautaro Juan Bautista Moreno Quiroga,lautaroquiroga@gmail.com,Almagro,2023-10-31
38,Candela Flores Fernandez,candelafernandez@hotmail.com,Palermo,2023-07-01
39,Julian Federico Sosa Cordoba,julian.cordoba@hotmail.com,Recoleta,2024-09-14
40,Benicio Francesca Castro,benicio.castro@hotmail.com,Villa Crespo,2024-09-28
41,Joaquin Benjamin Rodriguez,jrodriguez@hotmail.com,Colegiales,2023-08-28
42,Dr(a). Valentino Gonzalez,dr(a)..gonzalez32@yahoo.com,Caballito,2023-07-27
43,Alma Mia Bianca Cabrera Romero,alma.romero85@outlook.com,Flores,2023-05-14
44,Jazmin Gonzalez Gomez,jazmin.gomez@gmail.com,Palermo,2023-04-27
45,Juan Cruz Santino Gomez,juan.gomez@hotmail.com,Caballito,2023-07-09
46,Thiago Benjamin Juliana Franco,thiagofranco@yahoo.com,Belgrano,2023-04-30
47,Francesco Miranda,francesco.miranda@yahoo.com,Núñez,2023-04-30
48,Sr(a). Lorenzo Maidana,smaidana@gmail.com,Recoleta,2024-10-03
49,Clara Benitez Flores,claraflores@yahoo.com,Villa Urquiza,2023-08-10
50,Dr(a). Olivia Soto,dr(a)..soto@hotmail.com,Flores,2023-03-09
51,Felipe Julian Dominguez Nuñez,felipe_nunez@yahoo.com,Villa Crespo,2023-06-22
52,Julieta Micaela Hernandez,jhernandez@yahoo.com,Belgrano,2023-06-06
53,Ignacio Martinez Rodriguez,ignacio.rodriguez@gmail.com,Almagro,2023-03-07
54,Isabel Thiago Benjamin Fernandez Navarro,isabel.navarro75@hotmail.com,Palermo,2024-04-03
55,Santino Agustin Lopez Rivero,santinorivero@gmail.com,Colegiales,2023-12-28
56,Isabella Morena Figueroa Avila,isabella.avila31@gmail.com,Colegiales,2023-04-17
57,Francisco Ivan Vera,francisco.vera@gmail.com,Flores,2024-01-21
58,Ramiro Joaquín Soto,rsoto@outlook.com,Villa Crespo,2023-05-02
