id_venta,id_cliente,fecha,nombre_cliente,email,medio_pago
1,365,2023-01-03 14:00:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
2,327,2023-01-04 05:00:00,Julieta Sosa,julieta_sosa@hotmail.com,qr
3,462,2023-01-05 07:00:00,Delfina Ramos,delfina.ramos@outlook.com,tarjeta
4,534,2023-01-06 12:00:00,Francisco Valentina Jazmin Chavez Vazquez,francisco.vazquez88@hotmail.com,qr
5,365,2023-01-06 18:59:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
6,287,2023-01-09 00:00:00,Bautista Benjamin Godoy Guzman,bautista.guzman11@outlook.com,efectivo
7,365,2023-01-09 12:31:00,Emma Gutierrez,egutierrez@outlook.com,qr
8,365,2023-01-09 14:33:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
9,165,2023-01-10 15:00:00,Sr(a). Bautista Avila,sr(a)..avila77@outlook.com,tarjeta
10,285,2023-01-12 16:00:00,Catalina Sosa Juarez,catalinajuarez@yahoo.com,efectivo
11,474,2023-01-12 19:00:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
12,474,2023-01-12 21:32:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
13,294,2023-01-13 00:00:00,Sr(a). Sofia Rodriguez,sr(a)..rodriguez61@outlook.com,transferencia
14,285,2023-01-13 12:22:00,Catalina Sosa Juarez,catalinajuarez@yahoo.com,efectivo
15,365,2023-01-13 19:04:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
16,164,2023-01-14 00:00:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
17,66,2023-01-14 20:38:00,Sr(a). Josefina Dominguez,sr(a)..dominguez@hotmail.com,efectivo
18,273,2023-01-16 00:00:00,Tiziano Luciano Campos Bustos,tbustos@gmail.com,tarjeta
19,66,2023-01-16 00:00:00,Sr(a). Josefina Dominguez,sr(a)..dominguez@hotmail.com,efectivo
20,164,2023-01-16 21:52:00,Joaquin Catalina Coronel,joaquincoronel@gmail.com,efectivo
21,474,2023-01-17 14:21:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
22,474,2023-01-18 11:22:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
23,365,2023-01-18 12:37:00,Emma Gutierrez,egutierrez@outlook.com,efectivo
24,533,2023-01-18 18:00:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
25,533,2023-01-18 18:40:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,tarjeta
26,533,2023-01-19 14:28:00,Dr(a). Juana Fernandez,dfernandez@hotmail.com,efectivo
27,474,2023-01-19 18:34:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,qr
28,481,2023-01-19 20:00:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,qr
29,481,2023-01-20 13:17:00,Dr(a). Ciro Aguirre,dr(a).aguirre@yahoo.com,qr
30,365,2023-01-20 20:33:00,Emma Gutierrez,egutierrez@outlook.com,tarjeta
31,421,2023-01-22 06:00:00,Alma Romero Aguero,alma_aguero@hotmail.com,tarjeta
32,422,2023-01-22 16:00:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,qr
33,422,2023-01-22 18:57:00,Sr(a). Juan Ignacio Maidana,smaidana@outlook.com,transferencia
34,316,2023-01-23 05:00:00,Lucía Sofia Rojas Diaz,ldiaz@hotmail.com,qr
35,327,2023-01-23 08:43:00,Julieta Sosa,julieta_sosa@hotmail.com,qr
36,474,2023-01-24 18:33:00,Dr(a). Miguel Angel Fernandez,dfernandez@outlook.com,tarjeta
37,188,2023-01-24 19:04:00,Thiago Ezequiel Rodriguez,thiagorodriguez@yahoo.com,qr
38,190,2023-01-24 23:00:00,Dr(a). Delfina Lopez,dr(a)._lopez@outlook.com,efectivo
39,372,2023-01-25 04:00:00,Sr(a). Gonzalo Bustos,sr(a).bustos@gmail.com,tarjeta
