id_cliente,nombre_cliente,email,ciudad,fecha_alta
1,Victoria Tiziano Valentin Perez Martinez,victoria.martinez@gmail.com,Villa Crespo,2023-01-15
2,Dr(a). Renata Medina,dr(a)..medina@gmail.com,Colegiales,2023-07-17
3,Santino Nicolas Ledesma,santino.ledesma@hotmail.com,Caballito,2023-10-22
4,Candelaria Rodriguez Caceres,ccaceres@hotmail.com,Núñez,2023-12-11
5,Valentin Garcia Silva,vsilva@outlook.com,Palermo,2024-09-12
6,Milena Morales,milena.morales21@outlook.com,Villa Crespo,2023-12-27
7,Lola Peralta,lola_peralta@gmail.com,Recoleta,2023-07-19
8,Dr(a). Ramiro Moyano,dr(a)._moyano@outlook.com,Palermo,2024-06-23
9,Simon Toledo Juarez,simon.juarez@yahoo.com,Recoleta,2023-03-10
10,Jazmin Rojas,jrojas@outlook.com,Colegiales,2023-02-23
11,Geronimo Lola Benitez,geronimo.benitez@hotmail.com,Villa Crespo,2024-05-28
12,Lola Martin Gutierrez,lola.gutierrez@yahoo.com,Villa Crespo,2023-07-25
13,Sr(a). Alma Jazmin Duarte,sr(a).duarte@outlook.com,Almagro,2023-11-10
14,Felipe Agostina Gonzalez Silva,felipe.silva@hotmail.com,Núñez,2024-01-27
15,Benicio Luca Gonzalez Sanchez,benicio.sanchez21@yahoo.com,Villa Crespo,2024-08-10
16,Lucas Benjamin Martinez Ruiz,lruiz@hotmail.com,Almagro,2024-04-24
17,Mateo Ezequiel Ramiro Morales,mateomorales@gmail.com,Almagro,2023-05-18
18,Joaquin Isabella Ramirez Romero,joaquinromero@outlook.com,Caballito,2024-03-13
19,Lola Sara Ramos,lola.ramos51@hotmail.com,Villa Crespo,2023-05-30
20,Juan Manuel Fernandez,jfernandez@outlook.com,Colegiales,2023-05-28
21,Thiago Aguirre Moreno,thiago.moreno75@outlook.com,Caballito,2024-04-04
22,Benjamin Ezequiel Castillo Diaz,bdiaz@yahoo.com,Recoleta,2024-09-18
23,Alejo Diaz Figueroa,alejofigueroa@hotmail.com,Flores,2023-07-09
24,Dr(a). Valentina Gutierrez,dr(a)..gutierrez50@yahoo.com,Núñez,2023-12-18
25,Juan Cruz Antonia Lopez,juan.lopez@gmail.com,Núñez,2024-09-11
26,Victoria Martina Flores,victoria_flores@gmail.com,Villa Crespo,2023-09-08
27,Santino Ezequiel Delfina Ojeda Gomez,santino.gomez@outlook.com,Núñez,2024-04-27
28,Valentina Lucio Guzman,valentina.guzman@outlook.com,Núñez,2024-02-15
29,Valentina Benitez Rivero,valentina_rivero@hotmail.com,Núñez,2024-03-11
30,Dr(a). Guillermina Sosa,dr(a)..sosa@outlook.com,Villa Urquiza,2023-04-10
31,Dr(a). Malena Ferreyra,dr(a)._ferreyra@hotmail.com,Palermo,2023-02-07
32,Sr(a). Agustina Rodriguez,sr(a)..rodriguez@gmail.com,Villa Urquiza,2024-08-30
33,Dr(a). Thiago Nicolas Campos,dcampos@hotmail.com,Belgrano,2024-05-09
34,Juan Martin Acuña,juanacuna@outlook.com,Núñez,2024-07-28
35,Dr(a). Sofia Mendoza,dr(a).mendoza@hotmail.com,Villa Crespo,2023-05-01
36,Santiago Peralta Valdez,santiago_valdez@yahoo.com,Núñez,2023-03-31
37,Francesca Julieta Rodriguez Flores,francescaflores@gmail.com,Almagro,2023-09-05
38,Juan Cruz Isabel Roldan Avila,juanavila@hotmail.com,Palermo,2023-07-15
39,Guillermina Maximo Martinez Gonzalez,guillermina.gonzalez@hotmail.com,Recoleta,2024-09-18
40,Benicio Diaz Aguirre,benicio.aguirre@hotmail.com,Villa Crespo,2024-03-28
41,Valentina Franco,vfranco@hotmail.com,Colegiales,2023-02-07
42,Dr(a). Guillermina Lopez,dr(a)..lopez32@yahoo.com,Caballito,2023-12-09
43,Delfina Aguirre,delfina.aguirre85@outlook.com,Flores,2023-03-30
44,Sr(a). Guadalupe Flores,sr(a)..flores@gmail.com,Palermo,2023-11-08
45,Isabella Morales Aguirre,isabella.aguirre@hotmail.com,Caballito,2023-11-11
46,Thiago Benjamin Navarro,thiagonavarro@yahoo.com,Belgrano,2023-08-03
47,Benjamin Mia Gomez,benjamin.gomez@yahoo.com,Núñez,2023-04-28
48,Juan Ignacio Juana Figueroa,jfigueroa@gmail.com,Recoleta,2024-03-05
49,Antonio Vazquez,antoniovazquez@yahoo.com,Villa Urquiza,2023-03-12
50,Ciro Mateo Ramirez Gutierrez,ciro.gutierrez@hotmail.com,Flores,2023-12-12
51,Santino Juan Gabriel Duarte Dominguez,santino_dominguez@yahoo.com,Villa Crespo,2023-01-30
52,Felipe Flores,fflores@yahoo.com,Belgrano,2023-04-18
53,Augusto Lucia Avila,augusto.avila@gmail.com,Almagro,2023-04-20
54,Maximo Gomez Ferreyra,maximo.ferreyra75@hotmail.com,Palermo,2024-01-31
55,Sr(a). Luna Moreno,sr(a).moreno@gmail.com,Colegiales,2023-07-21
